cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R4-247-2,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R8-247-1,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R9-247-1,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B1-AL-R3-61-1,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B1-AL-R5-61-1,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B1-AL-R8-61-1,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R2-248-1,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R2-248-2,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R2-248-3,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R3-248-1,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R3-248-2,AL,AL,20,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
