cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
2019-08,ALL,f,KF-2019-08-505,DR,AL,91,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-528,DR,AL,95,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-469,DR,AL,104,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-483,DR,AL,104,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-477,DR,AL,105,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-456,DR,AL,111,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-460,DR,AL,111,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-521,DR,AL,111,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-501,DR,AL,114,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-450,DR,AL,118,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-529,DR,AL,126,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,m,KF-2019-08-447,AL,AL,54,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-442,AL,AL,66,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,m,KF-2019-08-502,AL,AL,68,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
